,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
10,66359,25467,26608,27642,28408,29250,30111,30801,31561,32265,32566,33554,33842,34635,35592,36314,37465,38602,38804,39178,40055,40407,41052,41912,42928,44007,44899,46221,46625,47429,48269,49540,50177,51737,52230,53953,54342,54744,55235,56842,57924,58972,59517,60541,61158,62380,63230,64139,65025,66213,67271,68065,69099,70444,71992,72356,73444,74136,74992,75804
11,62141,25559,26717,27764,28525,29361,30222,30895,31664,32353,32683,33638,33945,34742,35707,36427,37584,38740,38877,39293,40138,40497,41165,42025,43033,44120,45008,46341,46725,47559,48376,49666,50300,51895,52348,54131,54432,54854,55359,57024,58055,59100,59626,60648,61266,62503,63346,64251,65138,66328,67400,68173,69227,70570,72124,72474,73544,74238,75102,75866
12,62059,25667,26848,27912,28662,29490,30350,31002,31783,32464,32818,33741,34063,34868,35846,36558,37728,38874,38968,39425,40240,40604,41297,42152,43154,44250,45132,46466,46845,47710,48498,49799,50444,52035,52485,54240,54546,54988,55503,57145,58190,59246,59752,60778,61390,62650,63481,64382,65266,66462,67552,68296,69362,70717,72250,72607,73655,74352,75225,75937
13,62049,25779,26978,28061,28798,29618,30476,31110,31903,32574,32951,33846,34182,34992,35984,36688,37871,39007,39062,39554,40343,40714,41425,42277,43274,44377,45258,46594,46965,47857,48620,49931,50587,52178,52626,54351,54661,55122,55651,57265,58324,59390,59877,60907,61515,62796,63614,64508,65394,66594,67700,68418,69497,70863,72382,72738,73766,74464,75346,76009
14,62039,25833,27063,28153,28888,29705,30558,31187,31983,32642,33045,33911,34265,35077,36071,36780,37966,39076,39126,39643,40409,40789,41510,42366,43360,44463,45351,46667,47047,47951,48712,50013,50690,52261,52737,54416,54734,55204,55765,57348,58414,59476,59966,60988,61605,62888,63703,64593,65486,66683,67792,68504,69594,70968,72456,72833,73842,74545,75434,76042
15,62029,25942,27192,28298,29021,29832,30683,31294,32100,32756,33173,34017,34382,35202,36206,36909,38108,39200,39222,39768,40511,40898,41635,42487,43477,44588,45475,46793,47169,48093,48833,50146,50832,52401,52878,54526,54849,55340,55913,57467,58549,59619,60090,61118,61728,63032,63835,64718,65612,66815,67937,68622,69726,71112,72583,72958,73952,74654,75548,76113
16,62019,25996,27277,28389,29110,29918,30764,31371,32179,32828,33263,34083,34463,35287,36291,36999,38202,39261,39290,39854,40578,40974,41720,42573,43561,44671,45566,46865,47253,48184,48922,50227,50934,52484,52986,54590,54923,55423,56022,57550,58639,59705,60179,61200,61817,63123,63924,64804,65702,66904,68027,68707,69819,71215,72657,73049,74029,74731,75630,76146
17,70309,26073,27385,28506,29220,30026,30866,31463,32276,32920,33369,34169,34562,35392,36401,37108,38319,39355,39372,39957,40662,41067,41826,42674,43662,44773,45674,46963,47355,48299,49026,50335,51054,52593,53110,54679,55019,55533,56147,57649,58752,59818,60284,61305,61923,63239,64033,64907,65808,67015,68145,68807,69930,71335,72759,73156,74121,74824,75723,76196
18,70299,26127,27469,28595,29308,30111,30946,31538,32353,32991,33455,34234,34643,35479,36487,37198,38412,39422,39441,40040,40728,41143,41910,42757,43745,44854,45763,47035,47441,48389,49115,50418,51155,52674,53215,54743,55094,55616,56252,57730,58842,59903,60371,61387,62013,63327,64120,64990,65896,67104,68234,68892,70020,71433,72832,73244,74196,74903,75798,76232
19,70289,26213,27575,28715,29418,30216,31046,31630,32447,33085,33559,34322,34741,35583,36597,37306,38528,39519,39524,40140,40812,41237,42012,42859,43843,44956,45868,47132,47543,48502,49219,50524,51274,52784,53335,54830,55188,55725,56372,57831,58952,60014,60477,61489,62119,63442,64228,65094,66002,67215,68350,68991,70127,71551,72938,73349,74289,74996,75885,76287
20,70279,26341,27727,28888,29574,30364,31189,31753,32579,33223,33698,34451,34875,35727,36756,37452,38692,39670,39674,40276,40934,41366,42156,42995,43975,45098,46004,47281,47686,48664,49355,50684,51433,52955,53486,54964,55326,55888,56526,57968,59108,60184,60619,61639,62260,63610,64379,65238,66144,67370,68518,69122,70271,71711,73092,73488,74418,75120,76002,76370
21,70269,26421,27834,29004,29685,30471,31288,31846,32673,33319,33801,34540,34973,35833,36866,37562,38810,39763,39773,40376,41021,41462,42260,43098,44076,45201,46110,47380,47792,48777,49460,50792,51553,53069,53605,55055,55423,55999,56646,58071,59220,60295,60725,61744,62367,63724,64487,65342,66251,67482,68632,69224,70379,71828,73196,73594,74513,75214,76086,76423
22,71161,26504,27943,29119,29795,30576,31385,31940,32767,33416,33903,34629,35072,35939,36976,37672,38927,39866,39886,40475,41109,41557,42363,43200,44177,45303,46216,47479,47898,48890,49566,50900,51674,53182,53722,55145,55520,56111,56765,58174,59333,60405,60832,61847,62476,63839,64596,65447,66358,67595,68745,69326,70488,71945,73300,73699,74606,75309,76167,76475
23,71151,26587,28051,29234,29905,30683,31484,32033,32861,33513,34003,34720,35171,36045,37086,37783,39043,39975,39975,40573,41196,41653,42466,43302,44279,45406,46321,47584,48005,49003,49671,51009,51793,53296,53839,55236,55618,56225,56882,58276,59445,60518,60939,61952,62584,63951,64704,65551,66464,67707,68857,69428,70596,72061,73403,73804,74701,75403,76246,76527
24,71141,26664,28158,29349,30015,30788,31582,32128,32955,33611,34103,34811,35270,36151,37195,37894,39159,40070,40078,40670,41285,41749,42570,43403,44380,45510,46427,47684,48112,49115,49777,51119,51913,53410,53954,55328,55716,56338,56999,58379,59557,60630,61045,62056,62693,64066,64812,65656,66570,67817,68971,69532,70705,72177,73508,73908,74795,75499,76323,76578
25,71121,26741,28265,29465,30124,30894,31682,32221,33049,33709,34203,34902,35369,36258,37304,38004,39273,40167,40170,40767,41374,41845,42673,43504,44480,45611,46532,47781,48219,49226,49882,51229,52034,53525,54070,55417,55815,56451,57117,58482,59668,60739,61151,62162,62802,64180,64921,65761,66676,67930,69082,69635,70813,72292,73609,74010,74890,75594,76398,76630
26,71131,26818,28372,29581,30234,31000,31780,32316,33143,33805,34302,34993,35468,36363,37413,38114,39386,40258,40268,40864,41460,41942,42775,43605,44580,45714,46638,47879,48326,49337,49988,51340,52153,53637,54187,55508,55914,56565,57235,58585,59780,60848,61257,62267,62910,64294,65029,65866,66781,68042,69193,69739,70921,72406,73711,74113,74983,75690,76471,76680
27,71091,26975,28547,29777,30413,31169,31941,32457,33294,33966,34457,35145,35622,36528,37597,38281,39570,40447,40473,41018,41603,42092,42941,43758,44730,45878,46790,48056,48493,49522,50140,51529,52332,53837,54354,55668,56078,56756,57407,58745,59959,61043,61417,62441,63071,64488,65202,66031,66940,68220,69383,69889,71084,72582,73892,74267,75130,75832,76589,76781
